index,시·도,시·군,기업명,업종,생산품,매출액,기업규모,외투기업,회계기준,출처URL,홈페이지URL,비고
542,경상남도,창원시,강림중공업(주),조선·플랜트 제조업,선박용 보일러·HRSG·열교환기,"3,423억 3,521만원",중견기업,아니오,2025년 기준,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/Q3NFSEQ2d1h4eHE0RG91dWZSNHBUZz09/company_nm/%EA%B0%95%EB%A6%BC%EC%A4%91%EA%B3%B5%EC%97%85%28%EC%A3%BC%29,http://www.kangrim.com/,조선·플랜트 제조 기업
543,경상남도,창원시,(주)세아항공방산소재,항공·방산 소재 제조업,알루미늄 합금·항공방산 소재,"1,287억 1,566만원",중견기업,아니오,2025년 기준,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/VjJIUmVQQXRHZ092MmVVOU5xQXZYdz09/company_nm/%28%EC%A3%BC%29%EC%84%B8%EC%95%84%ED%95%AD%EA%B3%B5%EB%B0%A9%EC%82%B0%EC%86%8C%EC%9E%AC,https://www.seahaerospace.com/,세아그룹 계열사 · 항공·방산 소재 제조 기업
544,경상남도,창원시,범한메카텍(주) 창원1공장,플랜트 장비 제조업,압력용기·열교환기·화공장치,"3,392억 8백만원",중견기업,아니오,2025.12 기준,https://www.jobkorea.co.kr/company/16152813,http://www.Bumhanmecatec.com,플랜트 장비 제조 기업
545,경상남도,창원시,고려강선(주) 창원,철강선 제조업,와이어·강선,"1,461억 902만원",중견기업,아니오,2025년 기준,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/SXN0dXJkSXJPOTJyK0l2TWV6c3RtZz09/company_nm/%EA%B3%A0%EB%A0%A4%EA%B0%95%EC%84%A0%28%EC%A3%BC%29,https://www.kiswire.com/,철강선 제조 기업
546,경상남도,창원시,고려용접봉(주) 창원공장,용접재료 제조업,용접봉·용접재료,"2,515억 3,476만원",중견기업,아니오,2025년 기준,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/emhVRlMrTTV5QUlCK0MvM2syYmRjZz09/company_nm/%EA%B3%A0%EB%A0%A4%EC%9A%A9%EC%A0%91%EB%B4%89%28%EC%A3%BC%29,https://www.kiswel.com/,용접재료 제조 기업
547,경상남도,창원시,(주)풍산홀딩스 창원사업장,금속 제조업,비철금속·방산 관련 소재,"2,013억 4천만원",중견기업,아니오,2025.12 기준,https://www.jobkorea.co.kr/company/42669318,https://www.poongsan.co.kr/,금속 제조 기업
548,경상남도,창원시,신성델타테크(주) 창원·마산공장,가전·2차전지 부품 제조업,가전부품·2차전지 부품,"9,331억 4,152만원",중견기업,아니오,2025년 연결,https://cartech.nate.com/content/2159941,https://www.ssdelta.co.kr/,가전·2차전지 부품 제조 기업
549,경상남도,창원시,(주)알멕,알루미늄 제품 제조업,알루미늄 압출·전기차 부품,"1,419억 6,973만원",중견기업,아니오,2025년 기준,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/NlA1WXM2NU40bkFJWnRqaklpcHVmdz09/company_nm/%28%EC%A3%BC%29%EC%95%8C%EB%A9%95,https://www.almac.co.kr/,알루미늄 제품 제조 기업
550,경상남도,창원시,세방전지(주),운송장비용 이차전지 제조업 · 기타 이차전지 제조업,운송장비용 이차전지 제조업 · 기타 이차전지 제조업,"1조 6,365억 2,474만원",중견기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%EC%84%B8%EB%B0%A9%EC%A0%84%EC%A7%80%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.gbattery.com/,운송장비용 이차전지 제조 기업
551,경상남도,창원시,퍼스텍(주),자동차용 신품 전기장치 제조업 · 전기회로 개폐 · 보호장치 제조업,"ACM, Heat Exchanger, Enviromental Control Unit","2,948억 4,242만원",중견기업,아니오,2025.12.IFRS,https://search.naver.com/search.naver?query=%ED%8D%BC%EC%8A%A4%ED%85%8D%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.firsteccom.co.kr/,자동차용 신품 전기장치 제조 기업
552,경상남도,창원시,디와이파워(주),그 외 기타 특수목적용 기계 제조업 · 유압기기 제조업,그 외 기타 특수목적용 기계 제조업 · 유압기기 제조업,"3,827억 5,087만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%94%94%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9B%8C%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,http://power.dy.co.kr/,그 외 기타 특수목적용 기계 제조 기업
553,경상남도,창원시,효성굿스프링스(주),탭 · 밸브 및 유사장치 제조업 · 액체 펌프 제조업,"Between-bearing 펌프VERTICALLY SUSPENDED 펌프,OVERHUNG 펌프","2,300억 8,890만원",대기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%ED%9A%A8%EC%84%B1%EA%B5%BF%EC%8A%A4%ED%94%84%EB%A7%81%EC%8A%A4%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,http://www.hsgoodsprings.co.kr/,효성 계열사 · 탭 기업
554,경상남도,창원시,대원강업(주) 창원공장,금속 스프링 제조업 · 자동차 재제조 부품 제조업 · 피복 및 충전 용접봉 제조업,"현가 스프링파워트레인용 스프링 ,시트","1조 5,990억 7,217만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%8C%80%EC%9B%90%EA%B0%95%EC%97%85%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.daewon.co.kr/,금속 스프링 제조 기업
555,경상남도,창원시,경남에너지(주),태양력 발전업 · 연료용 가스 제조 및 배관공급업,태양력 발전업 · 연료용 가스 제조 및 배관공급업,"8,644억 9,520만원",중견기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%EA%B2%BD%EB%82%A8%EC%97%90%EB%84%88%EC%A7%80%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.knenergy.co.kr/,태양력 발 발전 기업
556,경상남도,창원시,영화금속(주)제1공장,자동차 재제조 부품 제조업 · 산업용 섬유 세척 · 염색,자동차 재제조 부품 제조업 · 산업용 섬유 세척 · 염색,"3,514억 2,385만원",중견기업,아니오,2025.12.IFRS,https://search.naver.com/search.naver?query=%EC%98%81%ED%99%94%EA%B8%88%EC%86%8D%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.yeonghwa.co.kr/,자동차 재제조 부품 제조 기업
557,경상남도,창원시,티아이씨(주) 1공장,자동차용 신품 동력전달장치 제조업 · 그 외 자동차용 신품 부품 제조업 · 금속 열처리업,"Axle Transmission,열처리,Manual원통연삭기,NC원통연삭기,공구연삭기, NC내경연삭기,전용기,볼스크류","1,148억 4,337만원",중소기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%ED%8B%B0%EC%95%84%EC%9D%B4%EC%94%A8%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,http://www.ticg.co.kr/,자동차용 신품 동력전달장치 제조 기업
558,경상남도,창원시,티아이씨(주) 2공장,금속 절삭기계 제조업,"Axle Transmission,열처리,Manual원통연삭기,NC원통연삭기,공구연삭기, NC내경연삭기,전용기,볼스크류","1,148억 4,337만원",중소기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%ED%8B%B0%EC%95%84%EC%9D%B4%EC%94%A8%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,http://www.ticg.co.kr/,금속 절삭기계 제조 기업
559,경상남도,창원시,삼성공조(주),비동력식 수공구 제조업 · 유압기기 제조업 · 기어 및 동력전달장치 제조업,비동력식 수공구 제조업 · 유압기기 제조업 · 기어 및 동력전달장치 제조업,"1,177억 3,635만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%82%BC%EC%84%B1%EA%B3%B5%EC%A1%B0%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,http://www.samsungcc.co.kr/,비동력식 수공구 제조 기업
560,경상남도,창원시,나라엠앤디(주),자동차용 신품 제동장치 제조업 · 그 외 자동차용 신품 부품 제조업 · 주형 및 금형 제조업,"Press Die &lt;자동차&gt;Press Die &lt;가전&gt;,Motor Core","1,846억 3,317만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EB%82%98%EB%9D%BC%EC%97%A0%EC%95%A4%EB%94%94%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.naramnd.com/,자동차용 신품 제동장치 제조 기업
561,경상남도,창원시,(주)오성사창원제3공장,태양력 발전업 · 기타 가정용 전기기기 제조업 · 건물 및 토목 엔지니어링 서비스업,태양력 발전업 · 기타 가정용 전기기기 제조업 · 건물 및 토목 엔지니어링 서비스업,"2,355억 9,329만원",중견기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%28%EC%A3%BC%29%EC%98%A4%EC%84%B1%EC%82%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://ohsungsa.co.kr/,태양력 발 발전 기업
562,경상남도,창원시,(주)오성사 창원공장,기타 가정용 전기기기 제조업,"자동차 사업부가전 사업부,생활가전 사업부","2,355억 9,329만원",중견기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%28%EC%A3%BC%29%EC%98%A4%EC%84%B1%EC%82%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://ohsungsa.co.kr/,기타 가정용 전기기기 제조 기업
563,경상남도,창원시,(주)오성사 창원제2공장,그 외 자동차용 신품 부품 제조업 · 자동차용 신품 제동장치 제조업 · 자동차용 신품 조향장치 및 현가 장치 제조업,"자동차 사업부가전 사업부,생활가전 사업부","2,355억 9,329만원",중견기업,아니오,2025년 기준,https://search.naver.com/search.naver?query=%28%EC%A3%BC%29%EC%98%A4%EC%84%B1%EC%82%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://ohsungsa.co.kr/,그 외 자동차용 신품 부품 제조 기업
564,경상남도,창원시,(주)무학중리공장,소주 제조업 · 기타 증류주 및 합성주 제조업,소주 제조업 · 기타 증류주 및 합성주 제조업,"1,438억 3,040만원",중견기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%28%EC%A3%BC%29%EB%AC%B4%ED%95%99%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.muhak.co.kr/,소주 제조 기업
565,경상남도,창원시,한국화낙(주),산업용 로봇 제조업 · 전자 응용 절삭기계 제조업 · 고무,"CNCServo Motor,LASER,로봇,ROBOMACHINE","4,200억원",중견기업,예,2025년 NICE 기준,https://search.naver.com/search.naver?query=%ED%95%9C%EA%B5%AD%ED%99%94%EB%82%99%28%EC%A3%BC%29%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.fkc.co.kr/,FANUC 계열사 · 산업용 로봇 제조 기업
566,경상남도,창원시,한국철강(주),강관 제조업 · 강관 가공품 및 관 연결구류 제조업 · 비금속류 해체 및 선별업 · 비금속류 원료 재생업,", 철강, 제강, 제철 등","8,667억 8,300만원",대기업,아니오,2025년 기준,https://ceoranking.com/lib/print_pages.php?sn=22309,https://www.kisco.co.kr/,강관 제조 기업
567,경상남도,창원시,한국NSK(주),구름베어링 제조업,Ball Bearing,"4,465억 7,951만원",중견기업,예,2025년 기준,https://m.saramin.co.kr/job-search/company-info-view/finance?csn=bFVIMlpZWld2K1ZLUUhqa2FsaUNwdz09,https://www.nsk.com/kr-ko/,NSK그룹 계열사 · 구름베어링 제조 기업
568,경상남도,창원시,디엘모터스(주),자동차 엔진용 신품 부품 제조업,자동차부품,"3,451억원",중견기업,아니오,2025년 기준,https://www.catch.co.kr/Comp/CompInfo/381586,https://www.dlmotors.co.kr/,자동차 엔진용 신품 부품 제조 기업
569,경상남도,창원시,(유)삼송 창원공장,자동차용 신품 조향장치 및 현가 장치 제조업 · 자동차 재제조 부품 제조업 · 자동차용 신품 제동장치 제조업 · 그 외 자동차용 신품 부품 제조업,자동차용 안전밸브,"2,720억 7,780만원",중견기업,아니오,2025년 기준,https://www.incruit.com/company/3354781/,https://www.samsong.com/,자동차용 신품 조향장치 및 현가 장치 제조 기업
570,경상남도,창원시,삼현철강(주),그 외 기타 1차 철강 제조업,"열연철판,용단철판","2,179억 6,223만원",중견기업,아니오,2025년 기준,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260306000632&langTpCd=0&method=search&orgid=F&rcpno=20260306000369&tran=Y,http://www.samsteel.co.kr/,그 외 기타 1차 철강 제조 기업
571,경상남도,창원시,(주)이엠텍,기타 무선 통신장비 제조업 · 기타 음향기기 제조업,"휴대폰용 스피커,리시버","1,065억 9,000만원",중견기업,아니오,2025.12 기준,https://www.jobkorea.co.kr/company/45731239,https://www.em-tech.co.kr/,기타 무선 통신장비 제조 기업
572,경상남도,창원시,한국성전(주) 표준공장,액정 표시장치 제조업 · 전기회로 개폐 · 보호장치 제조업 · 전동기 및 발전기 제조업,휴대폰 키패드,"3,079억 7,000만원",중견기업,예,2025년 기준,https://m.saramin.co.kr/job-search/company-info-view/finance/csn/RDlMTmhTL3hBbC9DVjlFbGJkV0pXZz09/company_nm/%ED%95%9C%EA%B5%AD%EC%84%B1%EC%A0%84%28%EC%A3%BC%29,http://www.hosiden.co.kr/,Hosiden 계열사 · 액정 표시장치 제조 기업
573,경상남도,창원시,한국쯔바키모토오토모티브(주),자동차 재제조 부품 제조업 · 자동차 엔진용 신품 부품 제조업,자동차엔진부품,"1,028억 2,404만원",중견기업,예,2025년 기준,https://www.incruit.com/company/12304538/,http://www.tsubaki-auto.co.kr/,자동차 재제조 부품 제조 기업
574,경상남도,창원시,(주)율곡,항공기용 부품 제조업 · 디스플레이 제조용 기계 제조업,진공펌프부품,"1,288억원",중견기업,아니오,2025년 기준,https://v.daum.net/v/20260722211712595,https://www.yulkok.co.kr/,항공기용 부품 제조 기업
575,경상남도,창원시,하이트진로(주)마산공장,소주 제조업,소주,"2조 2,404억원",중견기업,아니오,2025.12 기준,https://www.jobkorea.co.kr/company/1508733,http://www.hitejinro.com,소주 제조 기업
576,경상남도,창원시,(주)건화 창원공장,건설·채광용 기계장비 및 일반목적 기계 제조업,중장비 부품 외,"3,204억 8천만원",중견기업,아니오,2025.12 기준,https://www.jobkorea.co.kr/company/46161577,https://kunhwamc.com/,건화그룹 계열사 · 건설·채광용 기계장비 및 일반목적 기계 제조 기업
577,경상남도,창원시,(주)영흥,철강선 제조업,와이어·철강선,"4,334억 8,455만 8,559원",중견기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/common/disclsviewer.do?acptNo=20260316000215&docno=&method=searchInitInfo,https://www.youngwire.com/,철강선 제조 기업
578,경상남도,창원시,삼보산업(주)제1공장,알루미늄 제련·정련 및 합금 제조업,알루미늄 합금,"2,857억 6,316만 7,197원",중소기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260316002399&langTpCd=0&method=search&orgid=F&rcpno=20260316001486&tran=Y,http://www.samboind.kr/,알루미늄 제련·정련 및 합금 제조 기업
579,경상남도,창원시,삼보산업(주)제3공장,알루미늄 제련·정련 및 합금 제조업,알루미늄 합금,"2,857억 6,316만 7,197원",중소기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260316002399&langTpCd=0&method=search&orgid=F&rcpno=20260316001486&tran=Y,http://www.samboind.kr/,알루미늄 제련·정련 및 합금 제조 기업
580,경상남도,창원시,인화정공(주),내연기관 및 기타 기관·터빈 제조업,선박엔진 부품·금속성형기계·금속구조재,"1,079억 5,829만 33원",중견기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/external/2026/03/10/000360/20260310000682/00591.htm,https://www.ihpre.co.kr/,내연기관 및 기타 기관·터빈 제조 기업
581,경상남도,창원시,인화정공(주) 제2공장,기타 기관 및 터빈 제조업,선박엔진 부품·터빈 부품,"1,079억 5,829만 33원",중견기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/external/2026/03/10/000360/20260310000682/00591.htm,https://www.ihpre.co.kr/,기타 기관 및 터빈 제조 기업
582,경상남도,창원시,인화정공(주)제3공장,기타 기관 및 터빈 제조업,선박엔진 부품·터빈 부품,"1,079억 5,829만 33원",중견기업,아니오,2025년 연결 기준,https://kind.krx.co.kr/external/2026/03/10/000360/20260310000682/00591.htm,https://www.ihpre.co.kr/,기타 기관 및 터빈 제조 기업
583,경상남도,창원시,(주)클라크머터리얼핸들링아시아,산업용 트럭 및 적재기 제조업 · 건설 및 채광용 기계장비 제조업,지게차·산업용 트럭 및 적재기,"1,162억 8,349만원",중견기업,예,2025년 기준,https://www.incruit.com/company/38922/,https://clarkmhc.co.kr/,CLARK 계열사 · 산업용 트럭 및 적재기 제조 기업
584,경상남도,창원시,한황산업(주),그 외 자동차용 신품 부품 제조업 · 선철주물 주조업,자동차·중장비·산업기계용 주물 부품,"1,090억원",중견기업,아니오,2025년 기준,https://www.catch.co.kr/Comp/CompInfo/003212,https://www.hanhwang.co.kr/,그 외 자동차용 신품 부품 제조 기업
585,경상남도,창원시,대호특수강,그 외 기타 1차 철강 제조업,후판환봉,"2,774억 2,494만 8,980원",중견기업,아니오,2025년 기준,https://www.digitaltoday.co.kr/news/articleView.html?idxno=633933,https://dhstl.co.kr/,그 외 기타 1차 철강 제조 기업
586,경상남도,창원시,SNT AMT(주),자동차용 신품 동력전달장치 제조업,드럼 · 너클 · 디프케이스 외,"1,215억 5천만원",중견기업,아니오,2025.12 기준,https://m.jobkorea.co.kr/company/44983462/info,http://www.sntamt.com,SNT그룹 계열사 · 자동차용 신품 동력전달장치 제조 기업
587,경상남도,창원시,(주)금아하이드파워,유압기기 제조업,유압펌프 · 유압밸브 · 유압모터 · 축압기 등,"1,422억 1,791만원",중소기업,아니오,2025.12.31 기준,https://www.incruit.com/companies/1339460,http://www.kumahydpower.com,유압기기 제조 기업
588,경상남도,창원시,HD현대마린엔진,선박엔진 제조업,대형 선박엔진·터보차저·엔진부품,"3,798억 4,786만원",대기업,아니오,2025.12,https://www.catch.co.kr/Comp/CompInfo/177511,http://www.hd-marineengine.com,선박엔진 제조 기업
589,경상남도,창원시,(주)신화모텍,자동차부품 제조업,자동차 엔진·미션·현가·제동 부품,"1,528억 3,725만원",중견기업,아니오,2025.12,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/M2x2OG9DZ3lqa2d2QlhaOFFldkNjdz09/company_nm/%28%EC%A3%BC%29%EC%8B%A0%ED%99%94%EB%AA%A8%ED%85%8D,https://www.shinhwa-eng.com/,자동차부품 제조 기업
590,경상남도,창원시,(주)케이조선,선박 제조업,상선·선박·해양플랜트,"1조 2,563억 200만원",중견기업,아니오,2025.12,https://www.incruit.com/company/536644/,https://www.kshipbuilding.com/ko/main/main.html,선박 제조 기업
591,경상남도,창원시,두산모트롤,유압기기 제조업,"건설·산업기계용 유압기기, E-Drive","1,749억 5,038만원",대기업,아니오,2025.12,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/MDRzUVdPZHZqMFR3a3Zqd01PTytHZz09/company_nm/%EB%91%90%EC%82%B0%EB%AA%A8%ED%8A%B8%EB%A1%A4%28%EC%A3%BC%29,https://www.doosanmottrol.com/kr/,두산그룹 계열사 · 유압기기 제조 기업
592,부산광역시,강서구,삼성전기,전자부품 제조업,MLCC·반도체 패키지기판·전자부품,"11조 3,145억원",대기업,아니오,2025 연결,https://samsungsem.com/kr/newsroom/news/view.do?id=10041,https://www.samsungsem.com/,삼성그룹 계열 전자부품 제조 기업
593,부산광역시,강서구,르노코리아,자동차 제조업,승용차·전기차·자동차 엔진 및 부품,"3조 5,767억 1,400만원",대기업,예,2025.12,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/VWhDRlhzZmNxdGRTTzZLYkh2MDc2UT09/company_nm/%EB%A5%B4%EB%85%B8%EC%BD%94%EB%A6%AC%EC%95%84%28%EC%A3%BC%29,https://www.renault.co.kr/,Renault Group 계열 자동차 제조 기업
594,부산광역시,영도구,HJ중공업,조선·중공업 제조업,상선·특수선·선박구조물,"1조 9,997억원",대기업,아니오,2025 연결,https://www.etnews.com/20260127000203,https://www.hjsc.co.kr/,HJ그룹 계열 조선·중공업 기업
595,부산광역시,사하구,창신아이엔씨,신발 제조업,운동화·신발 및 신발 금형,"2조 1,870억 2,648만원",중견기업,아니오,2025.12,https://www.incruit.com/company/13497272/,https://www.changshininc.com/,글로벌 신발 제조 전문 기업
596,부산광역시,남구,동국씨엠,철강 제조업,냉연강판·도금강판·컬러강판,"1조 9,736억 3,530만원",중견기업,아니오,2025.12 별도,https://www.saramin.co.kr/zf_user/company-info/view/csn/Wm5WU1hvRWpHR1JTbXlNLzN6M0h1UT09/company_nm/%EB%8F%99%EA%B5%AD%EC%94%A8%EC%97%A0%28%EC%A3%BC%29,https://www.dongkukcm.com/,동국제강그룹 계열 냉연·컬러강판 제조 기업
597,부산광역시,강서구,태웅,금속 단조제품 제조업,풍력·조선·원자력·플랜트용 대형 단조품,"3,496억 5,359만원",중견기업,아니오,2025.12,https://www.incruit.com/company/58252/,https://www.taewoong.com/,대형 자유형 단조제품 전문 기업
598,부산광역시,사상구,조광페인트,도료 제조업,건축·공업·자동차·선박용 도료,"2,026억 6,752만 3,000원",중견기업,아니오,2025,https://www.digitaltoday.co.kr/news/articleView.html?idxno=633947,https://www.ckpc.co.kr/,도료·코팅 소재 전문 제조 기업
599,부산광역시,강서구,LS ELECTRIC,전력기기 제조업,초고압변압기·전력변환장치·에너지저장장치,"4조 9,657억 9,900만원",대기업,아니오,2025 연결,https://www.ls-electric.com/ko/company/invest/,https://www.ls-electric.com/,LS그룹 계열 전력·자동화기기 제조 기업
600,부산광역시,강서구,대한제강,제강·철강 제조업,철근·빌릿,"7,312억 6,900만원",중견기업,아니오,2025 별도,https://www.steelin.co.kr/news/articleView.html?idxno=12819,https://www.daehansteel.com/,철근·제강 전문 제조 기업
601,부산광역시,기장군,성우하이텍,자동차부품 제조업,차체부품·범퍼레일·자동차 구조부품,"4조 3,826억 7,041만 1,366원",대기업,아니오,2025 연결,https://www.digitaltoday.co.kr/news/articleView.html?idxno=634299,https://www.swhitech.com/,자동차 차체부품 전문 제조 기업
602,부산광역시,남구,한국쉘석유,윤활유·그리스 제조업,윤활유·그리스,"3,449억 5,916만원",중견기업,예,2025.12,https://www.jobkorea.co.kr/company/1627782,https://www.shell.co.kr/,Shell 계열 윤활유 제조 기업
603,부산광역시,동구,대한제분,곡물 제분업,밀가루·프리믹스·제분제품,"4,565억 6,984만원",중견기업,아니오,2025.12 별도,https://kind.krx.co.kr/external/2026/03/13/000392/20260313001243/00660.htm,https://www.dhflour.co.kr/,대한제분그룹 계열 곡물 제분 기업
604,부산광역시,금정구,동일고무벨트,산업용 고무제품 제조업,전동벨트·컨베어벨트·러버트랙·산업용 고무제품,"3,566억 6,000만원",중견기업,아니오,2025.12,https://jlab.incruit.com/inc/1469480781,https://www.drb-industrial.com/,DRB그룹 계열 산업용 고무제품 제조 기업
605,부산광역시,사상구,금양,화학제품·이차전지 소재 제조업,발포제·정밀화학제품·이차전지 소재,"1,028억원",중견기업,아니오,2025 연결,https://www.chosun.com/economy/industry-company/2026/05/06/,https://www.kyc.co.kr/,발포제·정밀화학·이차전지 소재 제조 기업
606,부산광역시,강서구,대한항공,항공기·항공우주 부품 제조업,항공기·무인항공기·항공우주 부품,"16조 5,019억원",대기업,아니오,2025 별도,https://kind.krx.co.kr/external/2026/05/29/002025/20260529003206/10002.htm,https://www.koreanair.com/,한진그룹 계열 항공우주 제조·항공운송 기업
607,부산광역시,기장군,SNT모티브,자동차부품·방산 제조업,자동차용 모터·엔진부품·현가장치·방산품,"9,987억 3천만원",중견기업,아니오,2025.12,https://www.jobkorea.co.kr/company/1632336,https://www.sntmotiv.com/,SNT그룹 계열 자동차부품·방산 제조 기업
608,부산광역시,강서구,하이록코리아,관이음쇠·밸브 제조업,튜브피팅·밸브·관이음쇠,"1,930억 8천만원",중견기업,아니오,2025.12,https://www.jobkorea.co.kr/company/1907558,https://www.hy-lok.com/,계장용 피팅·밸브 전문 제조 기업
609,부산광역시,강서구,파나시아,선박기자재·환경설비 제조업,선박평형수처리장치·황산화물/질소산화물 저감장치·수소추출기,"1,952억 5천만원",중견기업,아니오,2025.12,https://www.jobkorea.co.kr/company/1570280,https://www.worldpanasia.com/,친환경 선박기자재·환경설비 전문 제조 기업
610,부산광역시,해운대구,오토닉스,산업자동화 전자부품 제조업,센서·컨트롤러·산업자동화기기,"1,520억 90만원",중견기업,아니오,2025,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/TkxvTkpDRmhaNkFuV3JvcmpvWmpGZz09/company_nm/%28%EC%A3%BC%29%EC%98%A4%ED%86%A0%EB%8B%89%EC%8A%A4,https://www.autonics.com/,산업자동화 센서·제어기기 전문 제조 기업
611,부산광역시,강서구,동화엔텍,열교환기·선박기자재 제조업,선박용 열교환기·가스설비·냉각기,"3,315억 9,037만원",중견기업,아니오,2025,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/YUxndlQ2Z1psUEJQYTVjS3ZXd1ppQT09/company_nm/%28%EC%A3%BC%29%EB%8F%99%ED%99%94%EC%97%94%ED%85%8D,https://www.dh.co.kr/,동화엔텍그룹 계열 선박용 열교환기 제조 기업
612,부산광역시,사하구,바이넥스,의약품 제조업,합성의약품·완제의약품,"1,684억 7,500만원",중견기업,아니오,2025.12 연결,https://www.bi-nex.com/invest/financialInformation,https://www.bi-nex.com/,바이오·합성의약품 전문 제조 기업
613,부산광역시,사하구,대양전기공업,선박·철도 전기전자장비 제조업,선박용 조명·배전반·센서·방산 전자장비,"2,298억 6,513만원",중견기업,아니오,2025 연결,https://kind.krx.co.kr/external/2026/03/16/001194/20260316003753/00591.htm,https://www.daeyang.co.kr/,선박·철도·방산 전기전자장비 제조 기업
614,부산광역시,강서구,리노공업,반도체 검사부품 제조업,반도체 테스트소켓·리노핀·의료기기 부품,"3,725억 3,408만원",중견기업,아니오,2025.12,https://www.jobkorea.co.kr/company/1554906,https://leeno.com/kr/,반도체 검사부품 전문 제조 기업
615,부산광역시,강서구,성광벤드,관이음쇠 제조업,산업용 관이음쇠·배관 피팅,"2,215억 65만원",중견기업,아니오,2025.12,https://www.incruit.com/company/376224/,https://www.skbend.com/,산업용 관이음쇠 전문 제조 기업
616,부산광역시,강서구,태광후지킨,밸브·정밀기계 제조업,반도체·산업용 고순도 밸브 및 피팅,"6,833억 4,522만원",중견기업,예,2025,https://www.incruit.com/company/5042422/,https://www.tk-fujikin.com/,태광·Fujikin 합작 정밀밸브 제조 기업
617,부산광역시,기장군,카이엠,자동차부품 제조업,자동차 조향·현가·제동장치 및 자동차부품,"5,152억 2,577만원",중견기업,아니오,2025,https://www.saramin.co.kr/zf_user/company-info/view-inner-finance/csn/aWRKeTRpc01HMXg5NGtRWS9oRWtFZz09/company_nm/%EC%B9%B4%EC%9D%B4%EC%97%A0%28%EC%A3%BC%29,https://www.kaieminc.com/,자동차 조향·현가·제동부품 전문 제조 기업
